column_name,human_readable,data_file,data_file_desc,component,sas_label,description,target,var_type,valid_range_min,valid_range_max,sentinel_values,value_labels,hard_edit_notes,parse_notes
DSD122U,"On the days that {you/SP} took {PRODUCT NAME}, how much did {you/SP} usually take on a single day?",DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Dosage form,"On the days that {you/SP} took {PRODUCT NAME}, how much did {you/SP} usually take on a single day?","Both males and females 0 YEARS -
			150 YEARS",ordinal,1.0,41.0,"{""77"": ""Refused"", ""99"": ""Don't know""}","{""1"": ""TABLETS, CAPSULES, PILLS, CAPLETS, SOFTGELS, GEL CAPS, VEGICAPS, CHEWABLE TABLETS"", ""2"": ""Droppers"", ""3"": ""Drops"", ""5"": ""Injections/shots"", ""6"": ""LOZENGES/COUGH DROPS"", ""7"": ""Milliliters"", ""11"": ""Tablespoons"", ""12"": ""Teaspoons"", ""13"": ""Wafers"", ""15"": ""Cans"", ""16"": ""Grams"", ""17"": ""Dots"", ""18"": ""Cups"", ""19"": ""Sprays/Squirts"", ""20"": ""CHEWS/GUMMIES"", ""21"": ""Scoop"", ""22"": ""CC"", ""23"": ""Capful"", ""27"": ""Ounces"", ""28"": ""Packages/Packets"", ""29"": ""Vial"", ""30"": ""Gumball"", ""31"": ""Strips"", ""32"": ""Bottle"", ""41"": ""Pieces""}","CAPI INSTRUCTION: RESPONSE FIELD SHOULD ALLOW FOR 3 NUMERIC ENTRIES AND INCLUDE A DECIMAL.  ALLOW 0 OR 1 ENTRIES TO THE LEFT OF THE DECIMAL AND 0, 1 OR 2 ENTRIES TO THE RIGHT OF THE DECIMAL.  IF FORM CODE 1 THROUGH 8 IN DSQ.077, AUTOMATICALLY CODE THE UNIT CODE 1 AND SKIP TO BOX NEW 4A.  IF FORM CODE 12 IN DSQ.077, AUTOMATICALLY CODE THE UNIT CODE 13 FOR DSQ.123U AND SKIP TO BOX NEW 4A.  IF FORM CODE 13 IN DSQ.077, AUTOMATICALLY CODE THE UNIT CODE 20 FOR DSQ.123U AND SKIP TO BOX NEW 4A.  IF FORM CODE 14 IN DSQ.077, AUTOMATICALLY CODE THE UNIT CODE 17 FOR DSQ.123U AND SKIP TO BOX NEW 4A.  IF FORM CODE 16 IN DSQ.077, AUTOMATICALLY CODE THE UNIT CODE 6 FOR DSQ.123U AND SKIP TO BOX NEW 4A.  IF FORM CODE 9 IN DSQ.077, DISPLAY THE UNIT CODES 1, 6, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 27, 28, 30, 91, 77, 99 FOR DSQ.123U.  IF FORM CODE 10, 17 IN DSQ.077, DISPLAY THE UNIT CODES 2, 3, 5, 7, 11, 12, 15, 18, 19, 23, 27, 29, 91, 77, 99 FOR DSQ.123U.  IF FORM CODE 11, 15 IN DSQ.077, DISPLAY THE UNIT CODES 11, 12, 15, 16, 18, 21, 23, 27, 28, 91, 77, 99 FOR DSQ.123U.  IF FORM CODE 91, 77, 99 IN DSQ.077, DISPLAY ENTIRE PICK LIST FOR DSQ.123U.  IF CONTAINER NOT SEEN (CODE 2 IN DSQ.071), DISPLAY ENTIRE PICK LIST FOR DSQ.123U.  ENTER UNIT/FORM.",
DSDACTSS,Reported serving size/label serving size,DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Reported serving size/label serving size,Reported serving size/label serving size,"Both males and females 0 YEARS -
			150 YEARS",continuous,0.05,16.0,{},{},,
DSDANCNT,Includes all antacids reported with medications.,DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Total # of Antacids Taken,Includes all antacids reported with medications.,"Both males and females 0 YEARS -
			150 YEARS",continuous,0.0,3.0,"{""77"": ""Refused"", ""99"": ""Don't know""}",{},,
DSDANTA,Antacid reported as a dietary supplement,DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Antacid reported as a dietary supplement,Antacid reported as a dietary supplement,"Both males and females 0 YEARS -
			150 YEARS",ordinal,0.0,2.0,{},"{""0"": ""Non-antacid supplement"", ""1"": ""Antacid reported with dietary supplement (DSQ)"", ""2"": ""Antacid reported with medication (RXQ)""}","Antacids that are reported with dietary supplements (DSQ) are coded 1, antacids reported with medications in the antacid section are coded 2, dietary supplements that are not antacids are coded 0.",
DSDCOUNT,"Includes all supplements and the antacids reported with supplements, but not antacids reported with medications.",DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Total # of Dietary Supplements Taken,"Includes all supplements and the antacids reported with supplements, but not antacids reported with medications.","Both males and females 0 YEARS -
			150 YEARS",continuous,0.0,30.0,"{""77"": ""Refused"", ""99"": ""Don't know""}",{},< blank >,
DSDMTCH,Matching code,DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Matching code,Matching code,"Both males and females 0 YEARS -
			150 YEARS",ordinal,1.0,6.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Exact or near exact match"", ""2"": ""Probable match"", ""3"": ""Generic match"", ""4"": ""Reasonable match"", ""5"": ""Default match"", ""6"": ""No match""}",,
DSDPID,,DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Supplement ID Number,Supplement ID Number,"Both males and females 0 YEARS -
			150 YEARS",continuous,275.0,6666667314.0,{},{},,
DSDSUPP,,DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Supplement Name,,"Both males and females 0 YEARS -
			150 YEARS",binary,,,{},"{""Supplement Name"": ""Value was recorded"", ""< blank >"": ""Missing""}",,
DSQICAFF,Caffeine (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Caffeine (mg),Caffeine (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,13.0,500.0,{},{},,
DSQICALC,Calcium (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Calcium (mg),Calcium (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.8,3000.0,{},{},,
DSQICARB,Carbohydrate (gm),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Carbohydrate (gm),Carbohydrate (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.2,415.5,{},{},,
DSQICHL,Total choline (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Total choline (mg),Total choline (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.01,1175.0,{},{},,
DSQICHOL,Cholesterol (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Cholesterol (mg),Cholesterol (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,1.0,98.0,{},{},,
DSQICOPP,Copper (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Copper (mg),Copper (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.0004,6.0,{},{},,
DSQIFA,Folic acid (mcg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Folic acid (mcg),Folic acid (mcg),"Both males and females 0 YEARS -
			150 YEARS",continuous,5.0,7200.0,{},{},,
DSQIFDFE,"Folate, DFE (mcg)",DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,"Folate, DFE (mcg)","Folate, DFE (mcg)","Both males and females 0 YEARS -
			150 YEARS",continuous,9.0,12240.0,{},{},,
DSQIFIBE,Dietary fiber (gm),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Dietary fiber (gm),Dietary fiber (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.1,45.0,{},{},,
DSQIIODI,,DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Iodine (mcg),,"Both males and females 0 YEARS -
			150 YEARS",continuous,4.0,1500.0,{},{},,
DSQIIRON,Iron (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Iron (mg),Iron (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.07,195.0,{},{},,
DSQIKCAL,Energy (kcal),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Energy (kcal),Energy (kcal),"Both males and females 0 YEARS -
			150 YEARS",continuous,1.0,2010.0,{},{},,
DSQILYCO,Lycopene (mcg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Lycopene (mcg),Lycopene (mcg),"Both males and females 0 YEARS -
			150 YEARS",continuous,99.0,20000.0,{},{},,
DSQILZ,Lutein + zeaxanthin (mcg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Lutein + zeaxanthin (mcg),Lutein + zeaxanthin (mcg),"Both males and females 0 YEARS -
			150 YEARS",continuous,50.0,275000.0,{},{},,
DSQIMAGN,Magnesium (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Magnesium (mg),Magnesium (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.1,4080.0,{},{},,
DSQIMFAT,Total monounsaturated fatty acids (gm),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Total monounsaturated fatty acids (gm),Total monounsaturated fatty acids (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.2,6.0,{},{},,
DSQINIAC,Niacin (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Niacin (mg),Niacin (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.1,2000.0,{},{},,
DSQIPFAT,Total polyunsaturated fatty acids (gm),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Total polyunsaturated fatty acids (gm),Total polyunsaturated fatty acids (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.3,18.0,{},{},,
DSQIPHOS,Phosphorus (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Phosphorus (mg),Phosphorus (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.2,1035.0,{},{},,
DSQIPOTA,Potassium (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Potassium (mg),Potassium (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.2,3120.0,{},{},,
DSQIPROT,Protein (gm),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Protein (gm),Protein (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.1,75.0,{},{},,
DSQISELE,Selenium (mcg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Selenium (mcg),Selenium (mcg),"Both males and females 0 YEARS -
			150 YEARS",continuous,1.0,400.0,{},{},,
DSQISFAT,Total saturated fatty acids (gm),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Total saturated fatty acids (gm),Total saturated fatty acids (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.1,4.6,{},{},,
DSQISODI,Sodium (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Sodium (mg),Sodium (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.3,1820.0,{},{},,
DSQISUGR,Total sugars (gm),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Total sugars (gm),Total sugars (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.1,64.0,{},{},,
DSQITFAT,Total fat (gm),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Total fat (gm),Total fat (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.3,28.0,{},{},,
DSQIVB1,Thiamin (Vitamin B1) (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Thiamin (Vitamin B1) (mg),Thiamin (Vitamin B1) (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.005,400.0,{},{},,
DSQIVB12,Vitamin B12 (mcg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Vitamin B12 (mcg),Vitamin B12 (mcg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.3,10000.0,{},{},,
DSQIVB2,Riboflavin (Vitamin B2) (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Riboflavin (Vitamin B2) (mg),Riboflavin (Vitamin B2) (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.02,400.0,{},{},,
DSQIVB6,Vitamin B6 (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Vitamin B6 (mg),Vitamin B6 (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.01,500.0,{},{},,
DSQIVC,Vitamin C (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Vitamin C (mg),Vitamin C (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.02,8000.0,{},{},,
DSQIVD,Vitamin D (D2 + D3) (mcg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Vitamin D (D2 + D3) (mcg),Vitamin D (D2 + D3) (mcg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.2,2500.0,{},{},,
DSQIVK,Vitamin K (mcg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Vitamin K (mcg),Vitamin K (mcg),"Both males and females 0 YEARS -
			150 YEARS",continuous,5.0,45000.0,{},{},,
DSQIZINC,Zinc (mg),DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements,Dietary,Zinc (mg),Zinc (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.01,307.69,{},{},,
DSQTCAFF,Caffeine (mg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Caffeine (mg),Caffeine (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,10.0,133.0,{},{},,
DSQTCALC,Calcium (mg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Calcium (mg),Calcium (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.5,3383.3,{},{},,
DSQTCARB,Carbohydrate (gm),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Carbohydrate (gm),Carbohydrate (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.01,113.0,{},{},,
DSQTCHL,Total choline (mg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Total choline (mg),Total choline (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.001,1175.0,{},{},,
DSQTCHOL,Cholesterol (mg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Cholesterol (mg),Cholesterol (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.1,56.7,{},{},,
DSQTCOPP,Copper (mg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Copper (mg),Copper (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,1e-05,6.0,{},{},,
DSQTFA,Folic acid (mcg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Folic acid (mcg),Folic acid (mcg),"Both males and females 0 YEARS -
			150 YEARS",continuous,1.0,9032.0,{},{},,
DSQTFDFE,"Folate, DFE (mcg)",DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,"Folate, DFE (mcg)","Folate, DFE (mcg)","Both males and females 0 YEARS -
			150 YEARS",continuous,1.0,15354.0,{},{},,
DSQTFIBE,Dietary fiber (gm),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Dietary fiber (gm),Dietary fiber (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.01,45.0,{},{},,
DSQTIODI,Iodine (mcg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Iodine (mcg),Iodine (mcg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.5,1500.0,{},{},,
DSQTIRON,Iron (mg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Iron (mg),Iron (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.003,150.0,{},{},,
DSQTKCAL,Energy (kcal),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Energy (kcal),Energy (kcal),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.03,340.0,{},{},,
DSQTLYCO,Lycopene (mcg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Lycopene (mcg),Lycopene (mcg),"Both males and females 0 YEARS -
			150 YEARS",continuous,10.0,20000.0,{},{},,
DSQTLZ,Lutein + zeaxanthin (mcg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Lutein + zeaxanthin (mcg),Lutein + zeaxanthin (mcg),"Both males and females 0 YEARS -
			150 YEARS",continuous,2.0,275000.0,{},{},,
DSQTMAGN,Magnesium (mg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Magnesium (mg),Magnesium (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.2,1691.7,{},{},,
DSQTMFAT,Total monosaturated fatty acids (gm),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Total monounsaturated fatty acids (gm),Total monosaturated fatty acids (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.02,5.0,{},{},,
DSQTNIAC,Niacin (mg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Niacin (mg),Niacin (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.1,2013.3,{},{},,
DSQTPFAT,Total polyunsaturated fatty acids (gm),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Total polyunsaturated fatty acids (gm),Total polyunsaturated fatty acids (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.01,18.0,{},{},,
DSQTPHOS,Phosphorus (mg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Phosphorus (mg),Phosphorus (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.2,583.3,{},{},,
DSQTPOTA,Potassium (mg),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Potassium (mg),Potassium (mg),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.2,3120.0,{},{},,
DSQTPROT,Protein (gm),DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements,Dietary,Protein (gm),Protein (gm),"Both males and females 0 YEARS -
			150 YEARS",continuous,0.01,37.0,{},{},,
